============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 22 2025  11:35:24 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    Leakage     Internal                                     Library 
   Gate    Instances     Area     Power (nW)   Power (nW)                Library              Domain 
ON22X0            16      245.952      0.019      21836.810    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON22X1           260     4796.064      0.186     999029.084    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON22X4             4      135.274      0.011      62433.430    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON31X1             3       55.339      0.002      10603.638    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON31X4             1       33.818      0.003      22354.905    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON321X0            1       21.521      0.001        548.795    D_CELLS_MOSST_fast_1_98V_m40C       2 
OR2X1            560     6886.656      0.733    1311054.361    D_CELLS_MOSST_fast_1_98V_m40C       2 
OR2X2             36      553.392      0.064     366319.978    D_CELLS_MOSST_fast_1_98V_m40C       2 
OR2X4              5      122.976      0.013      96862.648    D_CELLS_MOSST_fast_1_98V_m40C       2 
OR3X0              6       92.232      0.012       2473.910    D_CELLS_MOSST_fast_1_98V_m40C       2 
OR3X1              1       18.446      0.001       4452.764    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRQX0        14138   912783.211     81.887  214125808.112    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRQX1           25     1767.780      0.133     612552.701    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRQX2         1643   116178.502      8.480   44754430.139    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRQX4          162    13447.426      0.959    6149669.797    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRRSQX1          2      166.018      0.009      44236.274    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRX0            12      811.642      0.076     208818.145    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRX1             6      442.714      0.030     128977.704    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRX2             4      307.440      0.021      92095.665    D_CELLS_MOSST_fast_1_98V_m40C       2 
-----------------------------------------------------------------------------------------------------
total          53445  1765649.441    160.386  367381078.929                                  


                                              Leakage  Leakage    Internal   Internal 
     Type      Instances     Area    Area % Power (nW) Power %   Power (nW)   Power % 
--------------------------------------------------------------------------------------
sequential         15992 1045904.731   59.2     91.594    57.1 266116588.537     72.4 
inverter            1103    8752.817    0.5      0.866     0.5   2481082.724      0.7 
buffer                 4      95.306    0.0      0.012     0.0      6770.915      0.0 
logic              36346  710896.586   40.3     67.914    42.3  98776636.753     26.9 
physical_cells         0       0.000    0.0      0.000     0.0         0.000      0.0 
--------------------------------------------------------------------------------------
total              53445 1765649.441  100.0    160.386   100.0 367381078.929    100.0 

