============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:25:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage      Internal                                     Library 
  Gate   Instances     Area      Power (nW)   Power (nW)                Library              Domain 
NO4X2            2       61.488       4.230       2893.443    D_CELLS_MOSST_slow_1_62V_125C       0 
NO5I1X1          2       67.637       4.708       4882.173    D_CELLS_MOSST_slow_1_62V_125C       0 
NO5I2X1          2       67.637       3.993        915.314    D_CELLS_MOSST_slow_1_62V_125C       0 
NO5I3X1          3      101.455       5.800       7102.323    D_CELLS_MOSST_slow_1_62V_125C       0 
NO6I1X0          1       39.967       3.762       1461.604    D_CELLS_MOSST_slow_1_62V_125C       0 
NO6I2X0          3      119.902      10.495       4627.017    D_CELLS_MOSST_slow_1_62V_125C       0 
NO6I3X0          1       43.042       4.265       3539.581    D_CELLS_MOSST_slow_1_62V_125C       0 
NO6X0            2       67.637       4.017       3469.828    D_CELLS_MOSST_slow_1_62V_125C       0 
OA21X0          23      353.556      37.414      30081.713    D_CELLS_MOSST_slow_1_62V_125C       0 
OA21X1          15      276.696      15.520      49213.962    D_CELLS_MOSST_slow_1_62V_125C       0 
OA21X2          26      559.541      40.596     128235.004    D_CELLS_MOSST_slow_1_62V_125C       0 
OA221X2          2       55.339       3.124      11820.224    D_CELLS_MOSST_slow_1_62V_125C       0 
OA222X1          4      110.678       4.958       5805.731    D_CELLS_MOSST_slow_1_62V_125C       0 
OA22X0           6      110.678      12.178       5553.404    D_CELLS_MOSST_slow_1_62V_125C       0 
OA22X2           8      196.762      14.437      20920.029    D_CELLS_MOSST_slow_1_62V_125C       0 
ON211X0          1       15.372       0.774        221.313    D_CELLS_MOSST_slow_1_62V_125C       0 
ON211X1          4       73.786       3.116       9787.112    D_CELLS_MOSST_slow_1_62V_125C       0 
ON21X0         136     1672.474     113.973      92242.220    D_CELLS_MOSST_slow_1_62V_125C       0 
ON21X1          60      922.320      50.499     101954.199    D_CELLS_MOSST_slow_1_62V_125C       0 
ON221X0         40      737.856      39.270      29745.113    D_CELLS_MOSST_slow_1_62V_125C       0 
ON221X1          6      147.571       6.210      19637.508    D_CELLS_MOSST_slow_1_62V_125C       0 
ON222X0          1       21.521       1.191        405.917    D_CELLS_MOSST_slow_1_62V_125C       0 
ON22X0         182     2797.704     179.042     155581.165    D_CELLS_MOSST_slow_1_62V_125C       0 
ON22X1         257     4740.725     286.577     512799.095    D_CELLS_MOSST_slow_1_62V_125C       0 
ON311X1          2       36.893       1.716       9693.287    D_CELLS_MOSST_slow_1_62V_125C       0 
ON31X0           3       46.116       2.287       1914.892    D_CELLS_MOSST_slow_1_62V_125C       0 
ON31X1          18      332.035      16.756      33862.648    D_CELLS_MOSST_slow_1_62V_125C       0 
ON321X0          1       21.521       0.873        598.351    D_CELLS_MOSST_slow_1_62V_125C       0 
ON32X0           2       36.893       1.777        302.796    D_CELLS_MOSST_slow_1_62V_125C       0 
OR2X1          363     4464.029     434.523     238666.869    D_CELLS_MOSST_slow_1_62V_125C       0 
