============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:26:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage     Internal                                   Library 
  Gate   Instances     Area     Power (nW)   Power (nW)               Library             Domain 
OA22X0           6      110.678      0.395       6441.885    D_CELLS_MOSST_typ_1_80V_25C       1 
OA22X2           8      196.762      0.481      25842.051    D_CELLS_MOSST_typ_1_80V_25C       1 
ON211X0          1       15.372      0.026        255.108    D_CELLS_MOSST_typ_1_80V_25C       1 
ON211X1          4       73.786      0.083      11790.506    D_CELLS_MOSST_typ_1_80V_25C       1 
ON21X0         136     1672.474      4.198     106377.967    D_CELLS_MOSST_typ_1_80V_25C       1 
ON21X1          60      922.320      1.452     121453.585    D_CELLS_MOSST_typ_1_80V_25C       1 
ON221X0         40      737.856      1.328      35992.946    D_CELLS_MOSST_typ_1_80V_25C       1 
ON221X1          6      147.571      0.164      23519.712    D_CELLS_MOSST_typ_1_80V_25C       1 
ON222X0          1       21.521      0.040        474.430    D_CELLS_MOSST_typ_1_80V_25C       1 
ON22X0         182     2797.704      6.494     178199.940    D_CELLS_MOSST_typ_1_80V_25C       1 
ON22X1         257     4740.725      7.859     613403.752    D_CELLS_MOSST_typ_1_80V_25C       1 
ON311X1          2       36.893      0.043      11606.073    D_CELLS_MOSST_typ_1_80V_25C       1 
ON31X0           3       46.116      0.090       2233.666    D_CELLS_MOSST_typ_1_80V_25C       1 
ON31X1          18      332.035      0.460      40355.365    D_CELLS_MOSST_typ_1_80V_25C       1 
ON321X0          1       21.521      0.030        708.852    D_CELLS_MOSST_typ_1_80V_25C       1 
ON32X0           2       36.893      0.068        338.429    D_CELLS_MOSST_typ_1_80V_25C       1 
OR2X1          363     4464.029     15.430     289751.185    D_CELLS_MOSST_typ_1_80V_25C       1 
OR2X2            9      138.348      0.560      15255.688    D_CELLS_MOSST_typ_1_80V_25C       1 
OR3X0            7      107.604      0.434       1606.343    D_CELLS_MOSST_typ_1_80V_25C       1 
OR4X1            1       24.595      0.057       1676.463    D_CELLS_MOSST_typ_1_80V_25C       1 
OR5X1            1       27.670      0.051       1419.688    D_CELLS_MOSST_typ_1_80V_25C       1 
OR6X1            1       33.818      0.072       3841.259    D_CELLS_MOSST_typ_1_80V_25C       1 
