============================================================
  Generated by:           Genus(TM) Synthesis Solution GENUS15.22 - 15.20-s024_1
  Generated on:           May 19 2025  10:27:00 pm
  Module:                 USFFT64_2B
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  Leakage     Internal                                     Library 
  Gate   Instances     Area     Power (nW)   Power (nW)                Library              Domain 
NO4I1X1          2       61.488      0.005       7389.266    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO4X2            2       61.488      0.004       4608.974    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO5I1X1          2       67.637      0.005       7378.592    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO5I2X1          2       67.637      0.004       1297.625    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO5I3X1          3      101.455      0.006      10892.729    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO6I1X0          1       39.967      0.004       2130.608    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO6I2X0          3      119.902      0.010       6667.849    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO6I3X0          1       43.042      0.004       5136.973    D_CELLS_MOSST_fast_1_98V_m40C       2 
NO6X0            2       67.637      0.004       4895.167    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA21X0          23      353.556      0.036      42495.232    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA21X1          15      276.696      0.016      71629.056    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA21X2          26      559.541      0.036     198705.715    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA221X2          2       55.339      0.003      18527.738    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA222X1          4      110.678      0.005       8551.785    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA22X0           6      110.678      0.012       7941.732    D_CELLS_MOSST_fast_1_98V_m40C       2 
OA22X2           8      196.762      0.014      32913.228    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON211X0          1       15.372      0.001        302.885    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON211X1          4       73.786      0.001      14160.775    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON21X0         136     1672.474      0.141     127105.946    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON21X1          60      922.320      0.035     146499.296    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON221X0         40      737.856      0.040      44338.440    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON221X1          6      147.571      0.004      28285.796    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON222X0          1       21.521      0.001        567.785    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON22X0         182     2797.704      0.217     214885.407    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON22X1         257     4740.725      0.184     749825.240    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON311X1          2       36.893      0.001      13874.165    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON31X0           3       46.116      0.003       2679.107    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON31X1          18      332.035      0.011      48805.841    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON321X0          1       21.521      0.001        859.066    D_CELLS_MOSST_fast_1_98V_m40C       2 
ON32X0           2       36.893      0.002        417.637    D_CELLS_MOSST_fast_1_98V_m40C       2 
OR2X1          363     4464.029      0.475     361477.417    D_CELLS_MOSST_fast_1_98V_m40C       2 
OR2X2            9      138.348      0.016      19266.376    D_CELLS_MOSST_fast_1_98V_m40C       2 
OR3X0            7      107.604      0.013       1952.970    D_CELLS_MOSST_fast_1_98V_m40C       2 
OR4X1            1       24.595      0.002       2110.640    D_CELLS_MOSST_fast_1_98V_m40C       2 
OR5X1            1       27.670      0.002       1759.697    D_CELLS_MOSST_fast_1_98V_m40C       2 
OR6X1            1       33.818      0.002       4791.823    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRQX0      15056   972051.494     87.204  156983543.778    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRQX1          2      141.422      0.011      30317.677    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRQX2        895    63286.524      4.619   17708430.824    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRQX4         26     2158.229      0.154     564645.041    D_CELLS_MOSST_fast_1_98V_m40C       2 
SDFRX0          13      879.278      0.082     148958.782    D_CELLS_MOSST_fast_1_98V_m40C       2 
---------------------------------------------------------------------------------------------------
total        50047  1740463.956    158.660  240867451.035                                  
